,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
52,52,L,,,1.036,0.71,,,86.96,60,0.83,-0.01,53.869,,,4899,114,1.38,0.384,26.4,0.652,44.8,1.036,71.3,0.403,29.2,0.146,14.1,0.685,66.1,0.205,19.8,0.348,23.9,0.304,20.9,,71.3,56475
53,53,R,,,1.047,0.732,,,83.22,63,0.85,0.01,54.601,,-1.593,4962,123,1.442,0.418,28.6,0.629,43.1,1.047,71.8,0.384,26.6,0.179,17.1,0.637,60.8,0.231,22.1,0.304,20.8,0.325,22.3,,71.8,57207
54,54,L,,,1.022,0.722,,,82.53,59,0.84,0,55.323,,,5021,122,1.454,0.412,28.9,0.61,42.7,1.022,71.6,0.418,28.7,0.192,18.8,0.628,61.4,0.202,19.8,0.325,22.8,0.285,20,,71.6,57929
55,55,R,,,1.018,0.737,,,82.25,57,0.8,-0.02,56.06,,-1.027,5079,116,1.459,0.406,28.5,0.612,42.9,1.018,71.4,0.412,28.2,0.164,16.1,0.582,57.2,0.272,26.7,0.285,20,0.327,22.9,,71.4,58666
56,56,L,,,1.035,0.691,,,84.03,61,0.83,0.01,56.751,,,5140,118,1.428,0.408,27.7,0.627,42.5,1.035,70.2,0.406,28.4,0.234,22.6,0.607,58.6,0.194,18.8,0.327,22.2,0.3,20.3,,70.2,59357
57,57,R,,,1.033,0.735,,,84.15,56,0.82,0,57.486,,0.918,5196,117,1.426,0.44,31.1,0.593,41.8,1.033,72.9,0.408,28.6,0.163,15.8,0.592,57.3,0.278,26.9,0.3,21.2,0.293,20.7,,72.9,60092
58,58,L,,,0.999,0.74,,,81.36,67,0.83,0,58.226,,,5263,123,1.475,0.384,27.7,0.615,44.4,0.999,72.2,0.44,29.8,0.188,18.8,0.605,60.6,0.206,20.6,0.293,21.2,0.322,23.3,,72.2,60832
59,59,R,,,1.017,0.677,,,84.69,54,0.85,0.01,58.903,,-2.603,5317,121,1.417,0.385,27.5,0.632,45.2,1.017,72.7,0.384,27.1,0.156,15.3,0.644,63.3,0.217,21.4,0.322,23,0.31,22.2,,72.7,61509
60,60,L,,,0.995,0.707,,,86.71,61,0.83,-0.01,59.61,,,5379,115,1.384,0.382,27.4,0.613,44,0.995,71.5,0.385,27.8,0.185,18.6,0.607,61,0.203,20.4,0.31,22.3,0.303,21.8,,71.5,62216
61,61,R,,,1.009,0.692,,,85.78,57,0.84,0,60.302,,-1.809,5436,118,1.399,0.397,28.9,0.612,44.5,1.009,73.3,0.382,27.3,0.186,18.4,0.603,59.8,0.22,21.8,0.303,22,0.309,22.5,,73.3,62908
62,62,L,,,0.948,0.7,,,86.21,59,0.83,0,61.002,,,5496,116,1.392,0.367,27.9,0.581,44.1,0.948,72,0.397,28.5,0.166,17.5,0.602,63.5,0.18,19,0.309,23.5,0.272,20.7,,72,63608
63,63,R,,,0.99,0.676,,,87.21,56,0.84,0,61.678,,-5.432,5552,115,1.376,0.368,26.6,0.622,44.9,0.99,71.4,0.367,26.7,0.152,15.4,0.636,64.2,0.202,20.4,0.272,19.6,0.35,25.3,,71.4,64284
64,64,L,,,1.062,0.64,,,91.19,53,0.83,0,62.318,,,5605,109,1.316,0.396,27.1,0.666,45.6,1.062,72.7,0.368,28,0.174,16.4,0.69,65,0.198,18.6,0.35,24,0.316,21.6,,72.7,64924
65,65,R,,,1.031,0.746,,,86.58,60,0.82,0,63.064,,4.849,5665,113,1.386,0.398,27.9,0.633,44.4,1.031,72.4,0.396,28.6,0.153,14.8,0.661,64.1,0.217,21.1,0.316,22.2,0.317,22.2,,72.4,65670
66,66,L,,,1.005,0.714,,,82.19,63,0.84,0.01,63.778,,,5728,123,1.46,0.394,28.4,0.611,44.1,1.005,72.5,0.398,27.3,0.165,16.4,0.607,60.4,0.233,23.2,0.317,22.9,0.294,21.2,,72.5,66384
67,67,R,,,1.018,0.711,,,84.21,63,0.88,0.01,64.489,,-1.94,5790,126,1.425,0.382,27.5,0.636,45.8,1.018,73.3,0.394,27.6,0.188,18.5,0.579,56.9,0.251,24.6,0.294,21.2,0.342,24.6,,73.3,67095
68,68,L,,,1.017,0.676,,,86.52,56,0.86,-0.01,65.165,,,5847,119,1.387,0.37,26.4,0.647,46.1,1.017,72.5,0.382,27.5,0.169,16.6,0.663,65.2,0.185,18.2,0.342,24.4,0.305,21.7,,72.5,67771
69,69,R,,,0.989,0.712,,,86.46,59,0.83,-0.01,65.877,,1.327,5906,115,1.388,0.386,28.3,0.603,44.2,0.989,72.5,0.37,26.7,0.162,16.4,0.637,64.4,0.19,19.2,0.305,22.4,0.298,21.8,,72.5,68483
70,70,L,,,0.968,0.691,,,85.53,63,0.87,0.01,66.568,,,5969,122,1.403,0.375,27.1,0.593,42.9,0.968,70,0.386,27.5,0.167,17.3,0.618,63.8,0.183,18.9,0.298,21.5,0.295,21.3,,70,69174
71,71,R,,,1.014,0.673,,,87.98,56,0.87,0,67.241,,-3.461,6025,119,1.364,0.415,29.7,0.599,42.8,1.014,72.5,0.375,27.5,0.18,17.8,0.631,62.2,0.203,20,0.295,21.1,0.304,21.7,,72.5,69847
72,72,L,,,0.989,0.71,,,86.77,58,0.82,-0.02,67.951,,,6083,114,1.383,0.384,28.3,0.605,44.6,0.989,72.9,0.415,30,0.174,17.6,0.614,62.1,0.201,20.3,0.304,22.4,0.301,22.2,,72.9,70557
73,73,R,,,0.953,0.688,,,85.84,56,0.82,0,68.639,,0.556,6139,114,1.398,0.367,27.1,0.586,43.3,0.953,70.5,0.384,27.5,0.167,17.5,0.577,60.5,0.209,22,0.301,22.3,0.285,21.1,,70.5,71245
74,74,L,,,0.977,0.668,,,88.5,60,0.86,0.01,69.307,,,6200,116,1.356,0.399,28.9,0.578,41.8,0.977,70.7,0.367,27.1,0.191,19.5,0.586,60,0.2,20.5,0.285,20.6,0.293,21.2,,70.7,71913
75,75,R,,,0.981,0.684,,,88.76,59,0.88,0.01,69.991,,1.024,6259,119,1.352,0.405,27.8,0.576,39.5,0.981,67.2,0.399,29.5,0.174,17.7,0.591,60.2,0.216,22.1,0.293,20.1,0.283,19.4,,67.2,72597
76,76,L,,,1.051,0.698,,,86.83,60,0.86,-0.01,70.689,,,6320,119,1.382,0.478,32.7,0.573,39.2,1.051,71.9,0.405,29.3,0.297,28.3,0.538,51.2,0.216,20.5,0.283,19.4,0.29,19.8,,71.9,73295
77,77,R,,,1.004,0.761,,,82.25,61,0.83,-0.01,71.45,,5.566,6381,121,1.459,0.411,28.9,0.593,41.7,1.004,70.6,0.478,32.8,0.207,20.6,0.577,57.5,0.22,21.9,0.29,20.4,0.303,21.3,,70.6,74056
78,78,L,,,1.004,0.701,,,82.08,61,0.83,0,72.151,,,6443,122,1.462,0.418,29.5,0.586,41.4,1.004,70.9,0.411,28.1,0.234,23.3,0.575,57.3,0.195,19.4,0.303,21.4,0.283,20,,70.9,74757
79,79,R,,,1.023,0.721,,,84.39,60,0.85,0.01,72.872,,-0.946,6503,121,1.422,0.413,29.7,0.61,43.9,1.023,73.7,0.418,29.4,0.173,16.9,0.612,59.8,0.238,23.3,0.283,20.4,0.327,23.5,,73.7,75478
80,80,L,,,1.026,0.696,,,84.69,58,0.83,-0.01,73.568,,,6561,118,1.417,0.366,25.9,0.66,46.6,1.026,72.5,0.413,29.1,0.25,24.4,0.577,56.2,0.199,19.4,0.327,23.1,0.333,23.5,,72.5,76174
81,81,R,,,1.056,0.693,,,86.39,52,0.79,-0.01,74.261,,-1.316,6614,110,1.389,0.389,27.5,0.667,47.2,1.056,74.7,0.366,26.3,0.149,14.1,0.663,62.8,0.244,23.1,0.333,23.6,0.334,23.6,,74.7,76867
82,82,L,,,1.006,0.722,,,84.81,61,0.8,0,74.983,,,6675,113,1.415,0.358,24.3,0.648,43.9,1.006,68.2,0.389,27.5,0.22,21.9,0.607,60.3,0.179,17.8,0.334,22.6,0.314,21.3,,68.2,77589
83,83,R,,,1.104,0.692,,,84.87,53,0.81,0,75.675,,-7.356,6728,114,1.414,0.469,31.5,0.635,42.6,1.104,74.1,0.358,25.3,0.171,15.5,0.69,62.5,0.243,22,0.314,21.1,0.321,21.6,,74.1,78281
84,84,L,,,1.048,0.783,,,81.36,65,0.8,0,76.458,,,6793,118,1.475,0.385,26.1,0.663,44.9,1.048,71,0.469,31.8,0.239,22.8,0.568,54.2,0.241,23,0.321,21.7,0.342,23.2,,71,79064
85,85,R,,,1.068,0.706,,,80.59,56,0.81,0,77.164,,-3.626,6849,121,1.489,0.429,28.9,0.639,43,1.068,71.8,0.385,25.9,0.183,17.1,0.634,59.4,0.251,23.5,0.342,23,0.297,20,,71.8,79770
86,86,L,,,1.013,0.771,,,81.25,70,0.85,0.01,77.935,,,6919,126,1.477,0.419,30.1,0.594,42.6,1.013,72.7,0.429,29,0.221,21.8,0.578,57.1,0.214,21.1,0.297,21.3,0.297,21.3,,72.7,80541
87,87,R,,,1,0.716,,,80.7,59,0.87,0,78.651,,-2.073,6978,129,1.487,0.381,27.4,0.619,44.4,1,71.8,0.419,28.2,0.164,16.4,0.612,61.2,0.224,22.4,0.297,21.3,0.322,23.1,,71.8,81257
88,88,L,,,1.022,0.678,,,86.08,56,0.82,-0.01,79.329,,,7035,115,1.394,0.393,27.3,0.629,43.7,1.022,71,0.381,27.3,0.15,14.7,0.654,64,0.218,21.3,0.322,22.4,0.307,21.3,,71,81935
89,89,R,,,1.081,0.715,,,86.15,59,0.83,0,80.044,,-1.81,7094,115,1.393,0.418,27.3,0.663,43.2,1.081,70.5,0.393,28.2,0.16,14.8,0.634,58.6,0.287,26.6,0.307,20,0.356,23.2,,70.5,82650
90,90,L,,,1.1,0.725,,,83.33,58,0.81,0,80.769,,,7152,117,1.44,0.452,29.4,0.648,42.2,1.1,71.6,0.418,29,0.162,14.7,0.724,65.8,0.214,19.5,0.356,23.2,0.292,19,,71.6,83375
91,91,R,,,1.017,0.808,,,78.28,66,0.81,0,81.577,,4.636,7218,124,1.533,0.437,30,0.58,39.9,1.017,69.9,0.452,29.5,0.193,19,0.565,55.6,0.259,25.4,0.292,20.1,0.288,19.8,,69.9,84183
92,92,L,,,1.028,0.729,,,78.07,63,0.84,0.01,82.306,,,7280,129,1.537,0.438,30.3,0.59,40.9,1.028,71.2,0.437,28.4,0.196,19.1,0.627,61,0.205,19.9,0.288,19.9,0.302,20.9,,71.2,84912
93,93,R,,,1.015,0.726,,,82.47,58,0.83,0,83.032,,1.167,7339,121,1.455,0.416,28.3,0.599,40.7,1.015,69,0.438,30.1,0.169,16.7,0.626,61.7,0.22,21.6,0.302,20.5,0.297,20.2,,69,85638
94,94,L,,,1.036,0.718,,,83.1,60,0.82,0,83.75,,,7399,118,1.444,0.455,31.2,0.581,39.8,1.036,71,0.416,28.8,0.217,20.9,0.605,58.4,0.214,20.7,0.297,20.3,0.284,19.5,,71,86356
95,95,R,,,0.997,0.752,,,81.63,61,0.82,0,84.502,,2.896,7461,121,1.47,0.424,30.9,0.573,41.7,0.997,72.6,0.455,31,0.18,18.1,0.575,57.7,0.242,24.2,0.284,20.7,0.289,21,,72.6,87108
96,96,L,,,0.954,0.708,,,82.19,61,0.84,0,85.21,,,7522,122,1.46,0.377,26.2,0.577,40.2,0.954,66.4,0.424,29,0.158,16.6,0.648,67.9,0.148,15.5,0.289,20.1,0.288,20,,66.4,87816
97,97,R,,,1.068,0.666,,,87.34,54,0.84,0,85.876,,-8.229,7576,115,1.374,0.483,33.2,0.585,40.3,1.068,73.5,0.377,27.4,0.179,16.8,0.656,61.4,0.233,21.8,0.288,19.8,0.297,20.4,,73.5,88482
98,98,L,,,1.024,0.771,,,83.51,63,0.81,-0.01,86.647,,,7639,117,1.437,0.385,26.6,0.639,44.2,1.024,70.8,0.483,33.6,0.16,15.6,0.673,65.7,0.191,18.7,0.297,20.5,0.342,23.6,,70.8,89253
99,99,R,,,1.095,0.682,,,82.59,51,0.78,-0.01,87.329,,-5.615,7690,114,1.453,0.423,28.6,0.672,45.4,1.095,73.9,0.385,26.5,0.152,13.9,0.706,64.5,0.237,21.6,0.342,23.1,0.33,22.3,,73.9,89935
100,100,L,,,1.018,0.765,,,82.93,63,0.79,0,88.094,,,7752,114,1.447,0.386,27.4,0.632,44.9,1.018,72.3,0.423,29.2,0.19,18.7,0.623,61.2,0.205,20.1,0.33,23.4,0.302,21.4,,72.3,90700
101,101,R,,,1.024,0.716,,,81.03,56,0.8,0.01,88.81,,-4.077,7809,119,1.481,0.39,27,0.634,43.9,1.024,70.9,0.386,26.1,0.138,13.5,0.651,63.6,0.235,22.9,0.302,20.9,0.332,23,,70.9,91416
102,102,L,,,1.057,0.692,,,85.23,59,0.82,0,89.502,,,7868,115,1.408,0.421,27.8,0.636,42,1.057,69.8,0.39,27.7,0.146,13.8,0.695,65.8,0.216,20.4,0.332,21.9,0.304,20.1,,69.8,92108
103,103,R,,,1.085,0.753,,,83.04,63,0.84,0.01,90.255,,0.237,7931,122,1.445,0.457,29.8,0.628,41,1.085,70.8,0.421,29.1,0.185,17.1,0.648,59.7,0.252,23.2,0.304,19.8,0.324,21.1,,70.8,92861
104,104,L,,,1.05,0.761,,,79.26,60,0.81,-0.01,91.016,,,7991,123,1.514,0.448,30.8,0.602,41.3,1.05,72.1,0.457,30.2,0.209,19.9,0.614,58.5,0.227,21.6,0.324,22.3,0.278,19.1,,72.1,93622
105,105,R,,,0.983,0.772,,,78.28,61,0.79,-0.01,91.788,,1.524,8053,121,1.533,0.406,29.4,0.577,41.8,0.983,71.2,0.448,29.2,0.164,16.7,0.574,58.4,0.245,24.9,0.278,20.1,0.299,21.7,,71.2,94394
